TimeStep,Reward
297,0.35690853812860523
298,0.0663153745570438
299,0.01337330924624108
300,0.0032156744370241646
301,0.0006756242666260543
302,0.00014823914694446353
303,1.4685709526899266e-05
304,1.837881874867741e-06
305,2.558704949075772e-07
306,1.9182931582475383e-08
307,2.214708153707077e-09
308,1.4316511076379993e-10
309,1.3305001774475107e-11
310,5.074497596152261e-13
311,2.74987794434437e-14
312,1.6153853430652256e-15
313,7.670307137659784e-17
314,2.2386210151493375e-18
315,8.419662358852041e-20
316,2.553336351404821e-21
317,6.576397369233721e-23
318,1.5244696115150518e-24
319,3.3280128918919276e-26
320,6.1756781421273975e-28
321,9.242639266063802e-30
322,1.710465197649866e-31
323,2.5020433356236074e-33
324,2.5377434977555336e-35
325,1.953079603507077e-37
326,1.870529778443955e-39
327,1.6493456184834616e-41
328,1.2130624068104887e-43
329,7.71574088876053e-46
330,4.445227838425511e-48
331,2.248717484902516e-50
332,1.0388505097282635e-52
333,4.3176702085544135e-55
334,1.5784869644770842e-57
335,4.8621344612304494e-60
336,1.3016338172945065e-62
337,3.3847847509504896e-65
338,8.176815950632048e-68
339,1.729791110048681e-70
340,3.1338641930739826e-73
341,4.4451863610882415e-76
342,5.769225384802822e-79
343,7.208663223457393e-82
344,8.515921578497981e-85
345,8.451642280227542e-88
346,7.158535139303542e-91
347,5.221443540590778e-94
348,4.3226727299716936e-97
349,3.1908545507012506e-100
350,1.649577693914208e-103
351,6.050744343846683e-107
352,2.982257399952902e-110
353,1.1888474722921876e-113
354,3.5541583677994634e-117
355,1.2382407362752586e-120
356,4.085607221042155e-124
357,8.658404074237765e-128
358,1.4793160539765013e-131
359,3.0401326061318046e-135
360,5.282763115307688e-139
361,6.9161989677820165e-143
362,9.050442483270115e-147
363,1.0852619014999026e-150
364,1.2745724095444461e-154
365,1.1850627379998326e-158
366,1.0128858525204201e-162
367,8.377770562236204e-167
368,6.083669917450029e-171
369,3.744043329759329e-175
370,1.941506671661038e-179
371,7.935812103834738e-184
372,2.46782459014861e-188
373,1.0559614752007345e-192
374,5.181371637874115e-196
375,1.503523242927831e-196
376,4.2174296323687295e-197
377,1.1561502723439624e-197
378,3.3680861254570296e-198
379,1.0195982974518382e-198
380,3.2609468951980873e-199
381,1.3012073450708753e-199
382,3.858862633546965e-200
383,1.1682119476766598e-200
384,3.5319108171957856e-201
385,1.0494781013314785e-201
386,2.9008701607095595e-202
387,8.935366002687293e-203
388,2.368446078050362e-203
389,8.959887472226757e-204
390,3.380499459692381e-204
391,7.348827531518198e-205
392,2.0324564897989294e-205
393,7.191905551982322e-206
394,1.7387713819582857e-206
395,6.350464013205405e-207
396,2.4111042607063836e-207
397,6.982445929043813e-208
398,1.5089785065907754e-208
399,4.996875307979907e-209
400,1.6090692082280292e-209
401,4.121337074517151e-210
402,1.525938460297848e-210
403,4.63291292761214e-211
404,1.533146459803715e-211
405,4.731680988370165e-212
406,1.4222199333339218e-212
407,4.259151677747396e-213
408,1.2130100054121188e-213
409,2.64448651851663e-214
410,9.224372864635043e-215
411,2.887952456247535e-215
412,7.722384774900352e-216
413,3.0476283666419334e-216
414,1.0351533152097165e-216
415,3.000053373770022e-217
416,7.550021587258921e-218
417,1.9116935101201792e-218
418,6.696736387028403e-219
419,1.7396154494472746e-219
420,7.120603870269634e-220
421,2.3440328280093577e-220
422,6.360706282500311e-221
423,1.7774758585360312e-221
424,4.608109390508801e-222
425,1.2175794021553764e-222
426,3.910559416783292e-223
427,1.3582194589007604e-223
428,3.756727353356929e-224
429,1.0127546610565592e-224
430,4.108764679363244e-225
431,1.3087691279641552e-225
432,2.933546547906313e-226
433,9.879084992718942e-227
434,2.713945312138186e-227
435,1.042022332448965e-227
436,3.1993224931570534e-228
437,7.724953568612479e-229
438,2.17050705464529e-229
439,8.957041334290968e-230
440,2.5372193758884706e-230
441,5.931448193361759e-231
442,1.9472838913243028e-231
443,6.988012947521095e-232
444,2.0469302197870067e-232
445,5.719448328731391e-233
446,1.6867456266598261e-233
447,6.095981117385871e-234
448,1.3659236251620744e-234
449,4.0367272874775406e-235
450,1.7573694996741505e-235
451,3.771244116667291e-236
452,1.2571875327185181e-236
453,4.160163029830479e-237
454,1.1618126859190664e-237
455,3.4087049609540203e-238
456,1.3090509311594762e-238
457,2.7456544486230893e-239
458,8.118471965749882e-240
459,3.1342992477813524e-240
460,7.785090890490482e-241
461,2.979248463081502e-241
462,7.516538496259214e-242
463,2.9583413803531004e-242
464,6.594607176653718e-243
465,2.507107464014936e-243
466,5.8540955947829805e-244
467,2.3292065507550612e-244
468,5.662034132029493e-245
469,1.9831833983171243e-245
470,4.666104653045868e-246
471,1.3451211413411612e-246
472,5.725018236407405e-247
473,1.3509468453844256e-247
474,3.768106701586636e-248
475,1.6688622659869065e-248
476,3.53282542756415e-249
477,1.0058363245280979e-249
478,4.4444297814558524e-250
479,9.4574490325943e-251
480,2.775461364976764e-251
481,1.2634001793043362e-251
482,2.6258712818840615e-252
483,7.877477649903501e-253
484,2.9992278252447615e-253
485,7.651509165762404e-254
486,3.0244371133421648e-254
487,7.309973526020877e-255
488,2.838514607585608e-255
489,6.187230612147422e-256
490,2.1734120610242297e-256
491,6.454965876957692e-257
492,1.55874813197173e-257
493,6.360413187626828e-258
494,1.459821368596141e-258
495,4.9468959361207385e-259
496,1.2093634402543471e-259
18,0.35173546754493645
